learning_rate,epochs,hidden_layers,activation,optimizer,accuracy,f1_score,precision,recall
0.01,50,[9],relu,sgd,0.6200873362445415,0.5727497996557617,0.603909314131345,0.6200873362445415
0.01,50,[9],relu,mini_batch,0.5938864628820961,0.5488056407535654,0.6323578073720469,0.5938864628820961
0.01,50,[9],relu,batch,0.30131004366812225,0.32275254325518077,0.36491757410301234,0.30131004366812225
0.01,50,[9],sigmoid,sgd,0.6550218340611353,0.6280615150939813,0.6696660932468793,0.6550218340611353
0.01,50,[9],sigmoid,mini_batch,0.5807860262008734,0.5323556200287154,0.6410221708951362,0.5807860262008734
0.01,50,[9],sigmoid,batch,0.2314410480349345,0.2302587781172468,0.4209135471102918,0.2314410480349345
0.01,50,[9],tanh,sgd,0.611353711790393,0.5851764078958436,0.6232726437393783,0.611353711790393
0.01,50,[9],tanh,mini_batch,0.6069868995633187,0.5684728137502485,0.625255964276022,0.6069868995633187
0.01,50,[9],tanh,batch,0.21397379912663755,0.2604090499957378,0.37588727730538407,0.21397379912663755
0.01,50,"[32, 54]",relu,sgd,0.5982532751091703,0.5749592689606479,0.6099542420028465,0.5982532751091703
0.01,50,"[32, 54]",relu,mini_batch,0.6026200873362445,0.5805681395201047,0.6113472038735122,0.6026200873362445
0.01,50,"[32, 54]",relu,batch,0.38427947598253276,0.3857129761433673,0.399318508332552,0.38427947598253276
0.01,50,"[32, 54]",sigmoid,sgd,0.6506550218340611,0.6160316872540108,0.6755800918390799,0.6506550218340611
0.01,50,"[32, 54]",sigmoid,mini_batch,0.5764192139737991,0.5283943923394281,0.6376917379805617,0.5764192139737991
0.01,50,"[32, 54]",sigmoid,batch,0.36681222707423583,0.31025788909944796,0.4401310795270916,0.36681222707423583
0.01,50,"[32, 54]",tanh,sgd,0.6026200873362445,0.5786868771273723,0.6167115871963073,0.6026200873362445
0.01,50,"[32, 54]",tanh,mini_batch,0.6069868995633187,0.578367381595394,0.5958750876516048,0.6069868995633187
0.01,50,"[32, 54]",tanh,batch,0.4366812227074236,0.4841173704460194,0.5600382902747004,0.4366812227074236
0.01,300,[9],relu,sgd,0.6506550218340611,0.6137919976753964,0.6539756896167032,0.6506550218340611
0.01,300,[9],relu,mini_batch,0.6157205240174672,0.5988203935802189,0.6243361265195326,0.6157205240174672
0.01,300,[9],relu,batch,0.5458515283842795,0.540985119427195,0.5478917749051158,0.5458515283842795
0.01,300,[9],sigmoid,sgd,0.6419213973799127,0.6248177327138437,0.6497153863610431,0.6419213973799127
0.01,300,[9],sigmoid,mini_batch,0.611353711790393,0.5692082232904643,0.6133743290045053,0.611353711790393
0.01,300,[9],sigmoid,batch,0.5458515283842795,0.49329166187253926,0.613398635486581,0.5458515283842795
0.01,300,[9],tanh,sgd,0.62882096069869,0.5821053609588405,0.584997878019634,0.62882096069869
0.01,300,[9],tanh,mini_batch,0.6462882096069869,0.6244187517659346,0.6786273581861596,0.6462882096069869
0.01,300,[9],tanh,batch,0.5065502183406113,0.47332252304526856,0.45435973421153425,0.5065502183406113
0.01,300,"[32, 54]",relu,sgd,0.6244541484716157,0.5996908544892702,0.6310976747657971,0.6244541484716157
0.01,300,"[32, 54]",relu,mini_batch,0.6244541484716157,0.6136561793245334,0.6292151526910663,0.6244541484716157
0.01,300,"[32, 54]",relu,batch,0.5458515283842795,0.546736768336031,0.5480640465793304,0.5458515283842795
0.01,300,"[32, 54]",sigmoid,sgd,0.6550218340611353,0.6199898988577963,0.6937023486368463,0.6550218340611353
0.01,300,"[32, 54]",sigmoid,mini_batch,0.6157205240174672,0.5739838051178793,0.6190237216026124,0.6157205240174672
0.01,300,"[32, 54]",sigmoid,batch,0.49344978165938863,0.4271391385203993,0.6022443951111219,0.49344978165938863
0.01,300,"[32, 54]",tanh,sgd,0.5895196506550219,0.5578877242959164,0.614483453604068,0.5895196506550219
